Addr,Lat,Lon
"33,Anandapura,nan,Bangalore,Karnataka,560036",13.0249798,77.6944104
"33,Anandapura,nan,Bangalore,Karnataka,560036",13.0249798,77.6944104
"33,Jinkethahalli,nan,Bangalore,Karnataka,560036",13.008385,77.696008
"102 silicon capital,manipal counti road,Singasandra,Bangalore,Karnataka,560068",12.8737284,77.6433476
"E, 503 Mantri Elegance,Bannerghatta road,nan,Bangalore,Karnataka,560076",12.9126796,77.6016781
"D 503 Mantri Green apartments,Malleshwaram,nan,Bangalore,Karnataka,560003",12.9916302,77.5711719
"Farushna White A307,Tala kaveri layout,Basavanagar,Bangalore,Karnataka,560017",12.9673883,77.6797392
"117,ROSE GARDEN JP NAGAR 6TH PHAS,nan,BANGALORE ,KARNATAKA,560078",12.9048452,77.575554
"TF007,SGR Dental College Road,Marathalli,Bangalore,Karnataka,560037",12.949865,77.700526
"306,7th Main5thcross,,puttenahalli road,nan,nan,Bangalore,560076",12.8980801,77.5826449
"1900-09-16 00:00:00,5thmain 1st Phase,Manjunathnagar,Bangalore,Karnataka,560010",13.0040638,77.5554079
"76/1,B602,JpNagar 1st Phase,Bangalore,Karnataka,560078",12.9118374,77.579495
"57, ganganagudi,velangani line rd,Jakhalli,Bangalore,Karnataka,560013",12.8491204,77.6582893
"121-B Mahaveer Zephyr,Kodichikanahalli,_,Bangalore,Karnataka,560076",12.9009139,77.6192945
"-,JP Nagar,-,Bangalore,Karnataka,-",12.9063433,77.5856825
"806 16th A cross,9th Main,3rd blk, Jaya nagar,bangalore,Karnataka,560011",12.9355463,77.5829725
"1901-07-18 00:00:00,AYYAPPA,VEERABADRAPPA RD kammhalli,BANGLORE,KARNATAKA,56003",13.0159044,77.6378619
"#1173,2nd floor,26th A main Road,9th Block,Jayanagar,Bengaluru,Karnataka,560069",12.9172729,77.5934355
"1907-07-06 00:00:00,ANEKAL CHANDAPURA ROAD,BYAGADADENAHALLI,BANGLORE,KARNATAKA,562106",12.7592011,77.7036849
"#10045,10th block, Prestige Royale garden,Yelahanka hobli,Banglore,Karnataka,560064",13.1397899,77.5696689
"No 25, PRAKRUTHI VILLA,3rd CROSS,SS FARM RD,BANJARA LAYOUT,HORAMAVU-AGARA,BLR,560043",13.0079914,77.6454475
"plot no-301,Block A,shri sai sannadhi apartment,sector A,ist cross,amruthnagar,Near Amruthnagar police station,Bengaluru,karnataka,560092",13.0569438,77.598467
"201,NANDI ENCLAVE,MEGLAYOUT,2ND MAIN,B.NARAYANAPURA,BANGLORE,KARNATAKA,560016",12.9914202,77.6753881
"119.ROHINI NILAYAM,LRDE LAYOUT KARTHIK NAGAR,MARATAHALLI,BANGLORE,KARNATAKA,560037",12.970128,77.7001353
